year,Country,³·¸åÂÊ
2003,Argentina,0.000132926
2003,Austria,8.60511E-05
2003,Canada,5.01262E-05
2003,China,4.71905E-05
2003,Czech Republic,0.000121418
2003,Finland,9.2081E-05
2003,France,6.96107E-05
2003,Germany,0.000120195
2003,Hong Kong,0.00012773
2003,Hungary,0.000151837
2003,Ireland,0.000180083
2003,Italy,0.000129311
2003,Japan,4.40885E-05
2003,Mexico,7.05667E-05
2003,Moldova,0.007194245
2003,Netherlands,0.000130242
2003,Norway,0.000125219
2003,Poland,7.5253E-05
2003,Portugal,0.000141203
2003,Romania,0.000327654
2003,South Korea,3.21533E-05
2003,Spain,2.31578E-05
2003,Sweden,4.64965E-05
2003,Switzerland,0.00014043
2003,Taiwan,8.38785E-05
2003,Turkey,7.32011E-05
2003,United Kingdom,2.45168E-05
2003,United States,0.000104716
2004,Australia,0.000116719
2004,Austria,0.000311964
2004,Belgium,4.52919E-05
2004,Brazil,2.64194E-05
2004,Canada,3.14639E-05
2004,Chile,0.000186916
2004,China,4.75748E-05
2004,Ethiopia,0.002109705
2004,Finland,0.000179565
2004,France,4.85525E-05
2004,Germany,6.35572E-05
2004,Hungary,0.000147124
2004,India,0.000255371
2004,Indonesia,0.001158301
2004,Iran,0.000159464
2004,Italy,8.62887E-05
2004,Japan,6.75326E-05
2004,Montenegro,0.002638522
2004,Netherlands,0.000122745
2004,New Zealand,0.00012945
2004,Poland,6.66178E-05
2004,Portugal,0.000250815
2004,Romania,0.000274273
2004,Russia,3.1741E-05
2004,Serbia,0.001121076
2004,Singapore,0.00010201
2004,South Korea,0.000150038
2004,Sweden,4.51508E-05
2004,Switzerland,8.52878E-05
2004,Thailand,0.000490557
2004,Turkey,0.000117295
2004,United Kingdom,5.47059E-05
2004,United States,0.000104504
2005,Algeria,0.000601685
2005,Australia,6.39087E-05
2005,Brazil,0.000117272
2005,Canada,5.54862E-05
2005,China,3.85964E-05
2005,France,7.94137E-05
2005,Gabon,0.010204082
2005,Germany,9.43057E-05
2005,Greece,0.000253079
2005,India,0.000137412
2005,Iran,0.000241809
2005,Israel,6.65247E-05
2005,Italy,6.57106E-05
2005,Japan,8.69294E-05
2005,New Zealand,0.000115075
2005,Norway,0.000199422
2005,Pakistan,0.001391304
2005,Russia,3.08814E-05
2005,Saudi Arabia,0.000487805
2005,Slovakia,0.000319183
2005,South Africa,0.000124704
2005,South Korea,0.000213858
2005,Spain,3.8912E-05
2005,Sweden,0.000126684
2005,Switzerland,3.98629E-05
2005,Taiwan,3.54748E-05
2005,Tunisia,0.000448029
2005,Turkey,0.000219853
2005,United Kingdom,7.2881E-05
2005,United States,8.61736E-05
2006,Argentina,0.000197258
2006,Australia,7.59749E-05
2006,Austria,6.67913E-05
2006,Brazil,4.04694E-05
2006,Canada,0.000102341
2006,China,4.95135E-05
2006,Denmark,0.000132908
2006,Egypt,0.000598713
2006,Finland,0.000228903
2006,France,7.39379E-05
2006,Germany,0.00012009
2006,Greece,0.000428113
2006,India,0.000118078
2006,Iran,0.000414938
2006,Ireland,0.000117082
2006,Israel,0.000126382
2006,Italy,8.99348E-05
2006,Japan,0.000112763
2006,Lebanon,0.000818331
2006,Myanmar (formerly Burma),0.00297619
2006,Nepal,0.001342282
2006,Netherlands,7.72599E-05
2006,New Zealand,0.000214293
2006,Norway,0.000733003
2006,Poland,3.19918E-05
2006,Russia,2.80852E-05
2006,Serbia,0.00060024
2006,South Korea,0.000543429
2006,Spain,8.66041E-05
2006,Sweden,3.99712E-05
2006,Switzerland,0.00010868
2006,Taiwan,3.13313E-05
2006,Turkey,0.000192428
2006,United Kingdom,0.000101614
2006,United States,0.000166806
2007,Australia,7.25387E-05
2007,Bangladesh,0.000577034
2007,Belgium,7.38689E-05
2007,Brazil,5.16484E-05
2007,Cambodia,0.005181347
2007,Canada,5.04039E-05
2007,China,0.000193518
2007,Croatia,0.000385208
2007,Czech Republic,7.89827E-05
2007,Denmark,0.000124727
2007,Egypt,0.000281413
2007,Finland,7.48839E-05
2007,France,5.12096E-05
2007,Germany,6.28699E-05
2007,Ghana,0.001398601
2007,Greece,0.000200468
2007,Hong Kong,0.000437397
2007,India,0.000459597
2007,Iran,0.000523834
2007,Iraq,0.001310616
2007,Ireland,0.000110534
2007,Israel,0.000186197
2007,Italy,0.000113069
2007,Japan,7.28295E-05
2007,Jordan,0.000738007
2007,Malaysia,0.000190876
2007,Netherlands,4.96919E-05
2007,Niger,0.006097561
2007,Norway,0.00040987
2007,Pakistan,0.000756048
2007,Poland,0.000118761
2007,Romania,0.000318218
2007,Saudi Arabia,0.000776699
2007,Singapore,0.000262215
2007,Slovenia,0.000240096
2007,South Africa,0.000207771
2007,South Korea,0.000311249
2007,Spain,4.88504E-05
2007,Sweden,7.81739E-05
2007,Switzerland,6.89774E-05
2007,Taiwan,0.000187441
2007,Thailand,0.000151515
2007,Tunisia,0.000332779
2007,Turkey,0.000300597
2007,United Kingdom,0.000123713
2007,United States,0.000159817
2008,Australia,6.75151E-05
2008,Austria,0.00017333
2008,Belgium,3.41111E-05
2008,Brazil,3.0044E-05
2008,Cameroon,0.004092769
2008,Canada,8.32036E-05
2008,Chile,0.000124008
2008,China,0.000231336
2008,Croatia,0.000288892
2008,Czech Republic,0.000220087
2008,Denmark,0.000406764
2008,Egypt,0.000251572
2008,Finland,7.03136E-05
2008,France,7.73792E-05
2008,Gabon,0.042105263
2008,Germany,8.07114E-05
2008,Greece,0.000496617
2008,Hungary,0.000114732
2008,India,0.000835232
2008,Iran,0.000407373
2008,Ireland,0.000102817
2008,Israel,6.00889E-05
2008,Italy,0.00016078
2008,Japan,0.000275509
2008,Jordan,0.000636132
2008,Lebanon,0.000747384
2008,Libya,0.004237288
2008,Macau,0.002398082
2008,Malawi,0.003115265
2008,Malaysia,0.000125392
2008,Netherlands,9.33816E-05
2008,Nigeria,0.000288517
2008,Pakistan,0.000659631
2008,Poland,5.61498E-05
2008,Portugal,0.000216185
2008,Puerto Rico,0.000649351
2008,Saudi Arabia,0.000999334
2008,Sierra Leone,0.047619048
2008,Singapore,0.000404826
2008,South Korea,0.000408702
2008,Spain,4.52386E-05
2008,Sweden,7.48083E-05
2008,Switzerland,9.75451E-05
2008,Taiwan,0.000201974
2008,Thailand,0.000518336
2008,Trinidad & Tobago,0.004032258
2008,Turkey,0.000174284
2008,United Arab Emirates,0.000691085
2008,United Kingdom,0.00015164
2008,United States,0.000165412
2008,Uruguay,0.000791139
2009,Algeria,0.000314762
2009,Argentina,7.50638E-05
2009,Armenia,0.001432665
2009,Australia,0.000337677
2009,Bahrain,0.004166667
2009,Belgium,0.000125415
2009,Brazil,6.78343E-05
2009,Brunei,0.004405286
2009,Bulgaria,0.000259875
2009,Canada,0.000209977
2009,Chile,0.000110047
2009,China,0.001138424
2009,Croatia,0.000259034
2009,Czech Republic,0.000204304
2009,Denmark,0.000100806
2009,Egypt,0.001039285
2009,Finland,0.000130856
2009,France,0.000110346
2009,Georgia,0.001196172
2009,Germany,0.000131086
2009,Greece,0.000367175
2009,Hong Kong,9.61076E-05
2009,Hungary,0.000218341
2009,India,0.000727441
2009,Indonesia,0.000117994
2009,Iran,0.000848752
2009,Italy,0.000112154
2009,Japan,0.000180436
2009,Jordan,0.000557724
2009,Kenya,0.00060241
2009,Malaysia,0.000665779
2009,Morocco,0.000387447
2009,Netherlands,0.000232141
2009,Norway,6.62208E-05
2009,Pakistan,0.000895095
2009,Poland,7.36829E-05
2009,Romania,0.000109278
2009,Russia,0.000144725
2009,Saudi Arabia,0.001019108
2009,Serbia,0.000194062
2009,Singapore,0.00052196
2009,Slovenia,0.000195198
2009,South Africa,0.000843882
2009,South Korea,0.000741402
2009,Spain,0.000121821
2009,Sweden,0.000268871
2009,Switzerland,0.000119893
2009,Taiwan,0.000402112
2009,Tanzania,0.000965251
2009,Thailand,0.000589414
2009,Tunisia,0.000711744
2009,Turkey,0.000535865
2009,United Arab Emirates,0.001191895
2009,United Kingdom,0.000279905
