country,name,effort
716,Zimbabwe,4059
894,Zambia,82
887,Yemen,3515
704,Vietnam,4140
862,Venezuela,1721
860,Uzbekistan,4291
858,Uruguay,3555
840,United States,7067
826,United Kingdom,13793
784,United Arab Emirates,3009
804,Ukraine,8839
800,Uganda,2937
795,Turkmenistan,2268
792,Turkey,5210
788,Tunisia,4687
780,Trinidad & Tobago,5941
768,Togo,832
764,Thailand,5476
834,Tanzania,710
762,Tajikistan,17273
158,Taiwan,4697
760,Syria,2282
756,Switzerland,8018
752,Sweden,5617
748,Swaziland/Eswatini,969
736,Sudan,3375
659,St. Kitts & Nevis,982
144,Sri Lanka,5594
724,Spain,8207
410,South Korea,5326
710,South Africa,5825
705,Slovenia,5883
703,Slovakia,3557
,Sint Maarten,982
702,Singapore,6291
694,Sierra Leone,828
688,Serbia,7575
686,Senegal,6791
682,Saudi Arabia,3679
882,Samoa,145
646,Rwanda,1380
643,Russia,12658
642,Romania,13990
178,Republic of the Congo (Congo-Brazzaville),3877
634,Qatar,4764
630,Puerto Rico,7186
620,Portugal,8215
616,Poland,5408
608,Philippines,2627
604,Peru,2601
600,Paraguay,294
598,Papua New Guinea,4283
591,Panama,2887
275,Palestine,3535
586,Pakistan,3028
512,Oman,4028
578,Norway,4775
408,North Korea,3653
566,Nigeria,4196
562,Niger,4811
554,New Zealand,5359
528,Netherlands,13972
524,Nepal,6107
516,Namibia,82
104,Myanmar (formerly Burma),2108
508,Mozambique,251
504,Morocco,2030
499,Montenegro,6018
496,Mongolia,6049
498,Moldova,7029
484,Mexico,6774
480,Mauritius,14182
470,Malta,13688
466,Mali,3166
462,Maldives,355
458,Malaysia,4620
454,Malawi,3572
450,Madagascar,1636
807,Macedonia,75
446,Macau,3771
442,Luxembourg,2831
440,Lithuania,9604
434,Libya,4243
426,Lesotho,2378
422,Lebanon,4354
428,Latvia,9346
418,Laos,42
417,Kyrgyzstan,4453
414,Kuwait,6198
,Kosovo,14330
404,Kenya,2979
398,Kazakhstan,6649
400,Jordan,4787
392,Japan,10961
388,Jamaica,665
380,Italy,7725
376,Israel,12615
372,Ireland,6842
368,Iraq,3848
364,Iran,6337
360,Indonesia,3109
356,India,5333
352,Iceland,5933
348,Hungary,6818
344,Hong Kong,8073
340,Honduras,2123
328,Guyana,7370
320,Guatemala,1468
308,Grenada,486
300,Greece,11092
288,Ghana,2990
276,Germany,11482
268,Georgia,1975
,Gaza Strip,639
270,Gambia,2053
266,Gabon,7760
258,French Polynesia,25855
250,France,7639
246,Finland,6269
242,Fiji,1317
231,Ethiopia,3918
233,Estonia,5774
818,Egypt,5353
218,Ecuador,3972
"	626",East Timor,4
214,Dominican Republic,390
212,Dominica,3372
208,Denmark,7962
180,Democratic Republic of the Congo,2938
203,Czech Republic,7205
196,Cyprus,7107
192,Cuba,5519
191,Croatia,6574
384,Cote d'Ivoire,3513
188,Costa Rica,1147
184,Cook Islands,7986
174,Comoros,0
170,Colombia,4666
156,China,2895
152,Chile,5419
148,Chad,2917
140,Central African Republic,1242
136,Cayman Islands,2067
124,Canada,9632
120,Cameroon,2591
116,Cambodia,2246
108,Burundi,3599
854,Burkina Faso,7261
100,Bulgaria,3452
96,Brunei,2492
76,Brazil,6144
72,Botswana,2724
70,Bosnia & Herzegovina,4931
68,Bolivia,736
60,Bermuda,16854
204,Benin,77
84,Belize,403
56,Belgium,12483
112,Belarus,6476
52,Barbados,1822
50,Bangladesh,2969
48,Bahrain,4289
31,Azerbaijan,13433
40,Austria,5580
36,Australia,6968
533,Aruba,1986
51,Armenia,2094
32,Argentina,5590
660,Anguilla,235
24,Angola,82
12,Algeria,6366
8,Albania,515
4,Afghanistan,2121
