year,name,ret,country
2010,Guyana,0.025,328
2022,Samoa,0.024691358,882
2024,Bahrain,0.022576361,48
2013,Belize,0.020833333,84
2016,Bermuda,0.020408163,60
2019,Tajikistan,0.020153551,762
2016,Cayman Islands,0.019230769,136
2016,Central African Republic,0.018867925,140
2019,North Korea,0.01754386,408
2017,Bermuda,0.016949153,60
2021,Honduras,0.015471167,340
2020,Bermuda,0.015151515,60
2018,North Korea,0.014084507,408
2016,Bahrain,0.013793103,48
2022,Belize,0.013513514,84
2023,Burundi,0.012711864,108
2019,Central African Republic,0.0125,140
2013,Bahrain,0.012195122,48
2020,Honduras,0.011477762,340
2023,Sint Maarten,0.011363636,
2023,Kyrgyzstan,0.010741139,417
2022,Dominica,0.010416667,212
2005,Gabon,0.010204082,266
2021,North Korea,0.010204082,408
2023,Papua New Guinea,0.009966777,598
2023,Ethiopia,0.009785882,231
2020,East Timor,0.009259259,626
2011,Togo,0.009090909,768
2016,Grenada,0.008888889,308
2022,Bahrain,0.008171604,48
2019,Russia,0.007405136,643
2003,Moldova,0.007194245,498
2022,Grenada,0.006741573,308
2022,Papua New Guinea,0.00660066,598
2023,Afghanistan,0.006498781,4
2010,Rwanda,0.006134969,646
2023,Maldives,0.006134969,462
2010,China,0.00612178,156
2007,Niger,0.006097561,562
2023,China,0.005756917,156
2016,French Polynesia,0.005649718,258
2022,Lesotho,0.005649718,426
2011,China,0.005528638,156
2018,Malaysia,0.005479452,458
2011,Gabon,0.005291005,266
2022,Kyrgyzstan,0.005250875,417
2007,Cambodia,0.005181347,116
2019,Barbados,0.005154639,52
2023,Trinidad & Tobago,0.005136986,780
2014,Republic of the Congo (Congo-Brazzaville),0.005076142,178
2022,Gambia,0.004962779,270
2022,Gabon,0.004950495,266
2013,Kosovo,0.004854369,
2023,Sudan,0.004705882,736
2022,Saudi Arabia,0.004684308,682
2023,Saudi Arabia,0.004616955,682
2021,Kyrgyzstan,0.004587156,417
2022,Turkmenistan,0.00456621,795
2009,Brunei,0.004405286,96
2017,Kazakhstan,0.004393191,398
2022,Chad,0.004291845,148
2008,Libya,0.004237288,434
2012,Fiji,0.004237288,242
2023,Chad,0.004237288,148
2023,Montenegro,0.004213483,499
2009,Bahrain,0.004166667,48
2008,Cameroon,0.004092769,120
2010,Montenegro,0.004081633,499
2008,Trinidad & Tobago,0.004032258,780
2018,Kazakhstan,0.004032258,398
2023,St. Kitts & Nevis,0.004032258,659
2012,Republic of the Congo (Congo-Brazzaville),0.004016064,178
2014,Mauritius,0.003984064,480
2021,China,0.003954916,156
2021,Barbados,0.003952569,52
2022,India,0.003872851,356
2022,Senegal,0.003871681,686
2018,Russia,0.003870765,643
2023,Yemen,0.003725782,887
2014,Sudan,0.003683241,736
2019,Laos,0.003663004,418
2016,Syria,0.003649635,760
2023,Pakistan,0.003575923,586
2022,Oman,0.003564639,512
2022,Trinidad & Tobago,0.003436426,780
2022,China,0.003401589,156
2023,Oman,0.003340492,512
2014,Anguilla,0.003333333,660
2023,Egypt,0.003305877,818
2023,Niger,0.003294893,562
2022,Kazakhstan,0.00329234,398
2022,Pakistan,0.003125936,586
2008,Malawi,0.003115265,454
2019,Grenada,0.003076923,308
2018,Uzbekistan,0.003058104,860
2024,Saudi Arabia,0.003033038,682
2018,Kuwait,0.003027682,414
2011,Cameroon,0.003024194,120
2006,Myanmar (formerly Burma),0.00297619,104
2022,Botswana,0.002901354,72
2010,Iran,0.002890271,364
2023,Kazakhstan,0.002879841,398
2010,Libya,0.00286533,434
2022,Madagascar,0.002853067,450
2010,Pakistan,0.002845163,586
2010,Malaysia,0.002820389,458
2016,Senegal,0.00280112,686
2023,Jordan,0.002732987,400
2020,Russia,0.002731808,643
2017,Libya,0.002717391,434
2024,Armenia,0.002695418,51
2004,Montenegro,0.002638522,499
2010,Thailand,0.002630514,764
2011,Cambodia,0.002597403,116
2013,Lebanon,0.002534854,422
2019,Kazakhstan,0.002453386,398
2022,Egypt,0.002452483,818
2023,Iran,0.002450261,364
2024,Jordan,0.002432552,400
2008,Macau,0.002398082,446
2010,Myanmar (formerly Burma),0.002347418,104
2017,Russia,0.002334229,643
2023,Iraq,0.002265628,368
2011,Palestine,0.002262443,275
2011,Benin,0.002257336,204
2011,Myanmar (formerly Burma),0.002212389,104
2012,Botswana,0.002197802,72
2019,Azerbaijan,0.002197802,31
2020,Malta,0.002192982,470
2019,Botswana,0.002190581,72
2010,Oman,0.002185792,512
2018,Tajikistan,0.002177068,762
2015,Uzbekistan,0.002176279,860
